"","V1","V2","V3","V4","number","cl","cll"
"154",121.3539464,121.4007376,31.333917,31.2859255,1029,121.377342,31.30992125
"155",121.3539464,121.4007376,31.3819085,31.333917,474,121.377342,31.35791275
"156",121.3539464,121.4007376,31.4299,31.3819085,226,121.377342,31.40590425
"157",121.3539464,121.4007376,31.4778915,31.4299,5,121.377342,31.45389575
"158",121.3539464,121.4007376,31.525883,31.4778915,1,121.377342,31.50188725
"159",121.3539464,121.4007376,31.5738745,31.525883,0,121.377342,31.54987875
"160",121.3539464,121.4007376,31.621866,31.5738745,0,121.377342,31.59787025
"161",121.4007376,121.4475288,30.7100275,30.662036,0,121.4241332,30.68603175
"162",121.4007376,121.4475288,30.758019,30.7100275,0,121.4241332,30.73402325
"163",121.4007376,121.4475288,30.8060105,30.758019,7,121.4241332,30.78201475
"164",121.4007376,121.4475288,30.854002,30.8060105,2,121.4241332,30.83000625
"165",121.4007376,121.4475288,30.9019935,30.854002,7,121.4241332,30.87799775
"166",121.4007376,121.4475288,30.949985,30.9019935,8,121.4241332,30.92598925
"167",121.4007376,121.4475288,30.9979765,30.949985,85,121.4241332,30.97398075
"168",121.4007376,121.4475288,31.045968,30.9979765,1179,121.4241332,31.02197225
"169",121.4007376,121.4475288,31.0939595,31.045968,533,121.4241332,31.06996375
"170",121.4007376,121.4475288,31.141951,31.0939595,1361,121.4241332,31.11795525
"171",121.4007376,121.4475288,31.1899425,31.141951,3565,121.4241332,31.16594675
"172",121.4007376,121.4475288,31.237934,31.1899425,7148,121.4241332,31.21393825
"173",121.4007376,121.4475288,31.2859255,31.237934,4359,121.4241332,31.26192975
"174",121.4007376,121.4475288,31.333917,31.2859255,1204,121.4241332,31.30992125
"175",121.4007376,121.4475288,31.3819085,31.333917,588,121.4241332,31.35791275
"176",121.4007376,121.4475288,31.4299,31.3819085,349,121.4241332,31.40590425
"177",121.4007376,121.4475288,31.4778915,31.4299,21,121.4241332,31.45389575
"178",121.4007376,121.4475288,31.525883,31.4778915,0,121.4241332,31.50188725
"179",121.4007376,121.4475288,31.5738745,31.525883,0,121.4241332,31.54987875
"180",121.4007376,121.4475288,31.621866,31.5738745,3,121.4241332,31.59787025
